题号,题干,A,B,C,D,E,答案,难度,题型,类别,备注
573,中共党员，广州市西汉南越王博物馆馆长吴某未遵守广州市文化广电新闻出版局外出请示报告制度，没有提前书面请假或向分管局领导口头请假，私自赴石家庄邢台商谈邢台文物赴广州展览事宜、赴河北磁县参加学术研讨会和赴武汉探亲，造成不良社会影响。按照新修订《中国共产党纪律处分条例》相关规定，吴某的行为违反了（ ）。,组织纪律,工作纪律,政治纪律,廉洁纪律,,A,无,单选题,政治理论,
574,某县委原书记谭某为打造所谓县城建设新亮点，脱离实际，不顾财力，在县政府建议暂缓、部分县委班子成员反对的情况下，强行决定修建历史文化墙项目，将县城主干道上使用不久的路灯换成单价较高的“橘灯”，总耗资上亿元。按照新修订《中国共产党纪律处分条例》相关规定，谭某的行为违反了（ ）。,组织纪律,工作纪律,政治纪律,群众纪律,,C,无,单选题,政治理论,
575,某单位在近三年的中秋、春节等传统节假日到来之际，违反有关规定，滥发奖金和福利，情节较重，对该单位的直接责任者和领导责任者，应给予	处分。（	）,警告,严重警告,撤销党内职务或者留党察看,开除党籍,,C,无,单选题,政治理论,
576,某领导干部王某常常把“守纪律讲规矩”挂在嘴上，可他内心却视党纪如无物，私底下疯狂敛财，对中央八项规定精神置若罔闻，甚至在中央党校学习期间，到会所吃喝玩乐。按照新修订《中国共产党纪律处分条例》相关规定，王某的行为违反了（	）。,组织纪律,政治纪律,工作纪律,群众纪律,,B,无,单选题,政治理论,
577,某市市委书记陈某为了早出政绩、快出显绩，耗资2亿打造形象工程，大多数项目长期荒废闲置，维护成本高昂。按照新修订《中国共产党纪律处分条例》相关规定，陈某的行为违反了    。（  ）,组织纪律,政治纪律,工作纪律,群众纪律,,B,无,单选题,政治理论,
578,当接待对象数量超过10人时，陪餐人数不得超过接待对象的（ ）。,二分之一,三分之一,四分之一,五分之一,,B,无,单选题,政治理论,
579,“中央八项规定”是在哪次会议上提出的？（	）,十八届中央政治局第一次会议,十八届中央纪委二次全会,2012年12月4日，中共中央政治局会议,党的十八大,,C,无,单选题,政治理论,
580,中央八项规定要求，要改进调查研究，到基层调研要深入了解真实情况，总结经验、研究问题、（ ）、指导工作。,解决困难,发现问题,听取意见,实地考察,,A,无,单选题,政治理论,
581,中央八项规定要求，切实改进文风，没有实质内容、可发可不发的文件、简报（	）。,少发,一律不发,精简后发,视情况而定,,B,无,单选题,政治理论,
582,厉行勤俭节约，严格遵守廉洁从政有关规定，严格执行住房、车辆配备等有关工作和（	）规定。,津贴补贴,福利,生活待遇,奖金,,C,无,单选题,政治理论,
583,某领导到基层调研，提前要求基层单位安排好调研路线和汇报内容，这种做法违背了中央八项规定中（	）。,改进调查研究,精简会议活动,规范出访活动,改进新闻报道,,A,无,单选题,政治理论,
584,某领导出行时，安排大量警力进行交通管制，影响群众正常出行，这违反了中央八项规定中（ ）。,规范出访活动,改进新闻报道,精简会议活动,改进警卫工作,,D,无,单选题,政治理论,
585,中央八项规定强调要轻车简从、减少陪同、简化接待，不张贴悬挂标语横幅，不安排群众迎送，不铺设迎宾地毯，不摆放花草，不安排宴请，体现的是（ ）方面要求。,改进调查研究,精简会议活动,厉行勤俭节约,改进警卫工作,,A,无,单选题,政治理论,
586,以下关于中央八项规定的意义，说法错误的是（	）。,加强了党的作风建设,密切了党同人民群众的血肉联系,只是为了约束党员干部的行为,彰显了党从严治党的决心,,C,无,单选题,政治理论,
587,中央八项规定实施后，对于违规行为的处理方式不包括（	）。,批评教育,组织处理,党纪政纪处分,表彰奖励,,D,无,单选题,政治理论,
588,某领导干部在新闻报道中过度突出个人形象，夸大工作成绩，这违反了中央八项规定中（ ）。,改进新闻报道,改进调查研究,严格文稿发表,厉行勤俭节约,,A,无,单选题,政治理论,
589,中央八项规定的核心是（	）。,提升政府形象,节约财政开支,规范领导干部行为,加强作风建设，密切联系群众,,D,无,单选题,政治理论,
590,为领导超标准购置豪华轿车，这违反了中央八项规定中（ ）。,厉行勤俭节约,改进调查研究,精简会议活动,规范出访活动,,A,无,单选题,政治理论,
591,为了落实中央八项规定精神，各级纪检监察机关应（	）。,参与具体业务工作,加强监督检查,只对领导干部进行监督,定期开展文艺活动,,B,无,单选题,政治理论,
592,中央八项规定要求，切实改进文风，文件、简报要（	）。,内容简洁、意尽文止,长篇大论、面面俱到,辞藻华丽、注重形式,随意编写、无统一格式,,A,无,单选题,政治理论,
593,2014年5月9日，习近平在参加河南省兰考县委常委班子党的群众路线教育实践活动专题民主生活会时强调，作风建设和（  ）息息相关。许多问题，看起来是风气问题，往深处剖析又往往是体制机制问题。,监督力度,法规制度,全面深化改革,监督执纪,,C,无,单选题,政治理论,
594,2014 年 1 月 14 日，习近平在十八届中央纪委三次全会上强调，各级纪委要履行好（ ），既协助党委加强党风建设和组织协调反腐败工作，又督促检查相关部门落实惩治和预防腐败工作任务，经常进行检查监督，严肃查处腐败问题。,主体责任,组织责任,监督责任,“一岗双责”,,C,无,单选题,政治理论,
595,2020年1月8日，习近平在“不忘初心、牢记使命”主题教育总结大会上指出，（ ）提出建立不忘初心、牢记使命的制度。建章立制，要坚持系统思维、辩证思维、底线思维，体现指导性、针对性、操作性。,党的十九届三中全会,党的十九届四中全会,党的十九届五中全会,党的十九届六中全会,,B,无,单选题,政治理论,
596,防止作风问题复发和反弹，必须标本兼治，出现问题就兵来将挡、水来土掩，有多少解决多少，同时要着眼于强健体魄、增加抵抗力，加强（ ），提高党员、干部坚持优良作风、抵制不良作风的自觉性和坚定性。,党纪教育,党章党规教育,党章党规党纪教育,党性教育,,D,无,单选题,政治理论,
597,《中国共产党纪律处分条例》中所称领导责任者，包括（	）。,主要领导责任,直接领导责任,主要领导责任和重要领导责任,直接领导责任和重要领导责任,,C,无,单选题,政治理论,
598,以下哪项不属于中央八项规定内容？（ ）,改进调查研究,精简会议活动,加强公车管理,规范出访活动,,C,无,单选题,政治理论,
599,严格文稿发表，除中央统一安排外，个人不公开出版著作、讲话单行本，不发贺信、贺电，不题词、（	）。,作序,题字,写文章,发表评论,,B,无,单选题,政治理论,
600,某领导出国访问期间，超标准安排住宿和宴请，这违反了中央八项规定中（ ）。,规范出访活动,改进警卫工作,严格文稿发表,精简会议活动,,A,无,单选题,政治理论,
601,以下不属于对党员的纪律处分种类的是（	）。,严重警告,降级,留党察看,开除党籍,,B,无,单选题,政治理论,
602,擅自对应当由党中央决定的重大政策问题作出决定、对外发表主张的，对	，给予严重警告或者撤销党内职务处分；情节严重的，给予留党察看或者开除党籍处分。（ ）,主要领导者,直接责任者,间接责任者,领导责任者,,BD,无,多选题,政治理论,
603,有下列哪些行为，情节严重的，需对直接责任者和领导责任者给予开除党籍处分。（ ）,改变公务行程，借机旅游,以学习培训考察调研等为名变相公款旅游,参加下属单位组织的考察活动,以招商参展等名义变相用公款出国（境）旅游,,ABD,无,多选题,政治理论,
604,新修订的《中国共产党纪律处分条例》在廉洁纪律部分，新增规定，党员干部存在以	等名义变相送礼的，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。（		）,讲课费,课题费,咨询费,手续费,,ABC,无,多选题,政治理论,
605,有下列行为之一，造成严重损害或者严重不良影响的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（ ）,在督查检查考核等工作中搞层层加码、过度留痕，增加基层工作负担,单纯以会议贯彻会议、以文件落实文件，在实际工作中不见诸行动,脱离实际，不作深入调查研究，搞随意决策、机械执行,违反精文减会有关规定搞文山会海,,ABCD,无,多选题,政治理论,
606,有下列行为之一，情节较重的，给予警告或者严重警告处分。（	）,违反个人有关事项报告规定，隐瞒不报,在组织进行谈话函询时，不如实向组织说明问题,不按要求报告或者不如实报告个人去向,不主动填报个人档案资料,,ABC,无,多选题,政治理论,
607,组织、参加旨在反对党的领导、反对社会主义制度或者敌视政府等组织的，对	    、	    和	    ，给予开除党籍处分。（ ）,策划者,组织者,不明真相被裹挟参加者,骨干分子,,ABD,无,多选题,政治理论,
608,组织迷信活动的，给予（	）或者（	）处分；情节严重的，给予（	）处分。,警告或者严重警告,撤销党内职务,留党察看,开除党籍,,BCD,无,多选题,政治理论,
609,贯彻党中央决策部署只表态不落实，或者落实党中央决策部署不坚决，（ ），在政治上造成不良影响或者严重后果的，给予警告或者严重警告处分。,乱作为,打折扣,搞变通,缺思考,,BC,无,多选题,政治理论,
610,按照新修订《中国共产党纪律处分条例》有关规定，党组织和党员必须坚守初心使命，牢固树立政治意识、大局意识、核心意识、看齐意识，始终坚定（ ）。,道路自信,理论自信,制度自信,文化自信,,ABCD,无,多选题,政治理论,
611,党员被依法留置、逮捕的，党组织应当按照管理权限中止其表决权、选举权和被选举权等党员权利。根据（	）处理结果，可以恢复其党员权利的，应当及时予以恢复。,审判机关,司法机关,监察机关,检察机关,,BC,无,多选题,政治理论,
612,党员犯罪情节轻微，人民检察院依法作出不起诉 决定的，或者人民法院依法作出有罪判决并免予刑事处罚的，应当给予哪些处分？（	）,留党察看,撤销党内职务,开除党籍,严重警告,,ABC,无,多选题,政治理论,
613,根据《中国共产党纪律处分条例》规定，深化运用监督执纪“四种形态”，经常开展批评和自我批评，及时进行（ ），让“红红脸、出出汗”成为常态。,谈话提醒,批评教育,责令检查,诫勉,,ABCD,无,多选题,政治理论,
614,对于受到解散处理的党组织中的党员，应当逐个审查。其中，不符合党员条件的，应当对其进行（ ），经教育仍无转变的，予以劝退或者除名。,批评,教育,限期改正,警告,,BC,无,多选题,政治理论,
615,对抗组织审查，有下列行为之一的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（	）,串供或者伪造、销毁、转移、隐匿证据,阻止他人揭发检举、提供证据材料,向组织提供虚假情况，掩盖事实,包庇同案人员,,ABCD,无,多选题,政治理论,
616,不按照规定公开（ ）等，侵犯群众知情权，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。,党务,政务,厂务,村（居）务,,ABCD,无,多选题,政治理论,
617,党员犯罪，有下列情形之一的，应当给予开除党籍处分。（	）,依法受到政务处分的,因过失犯罪，被依法判处三年以上（不含三年）有期徒刑,因故意犯罪被依法判处刑法规定的主刑（含宣告缓刑）,被单处或者附加剥夺政治权利,,BCD,无,多选题,政治理论,
618,违反党章和其他党内法规的规定，采取弄虚作假或者其他手段把不符合党员条件的人发展为党员，或者为非党员出具党员身份证明的，对直接责任者和领导责任者，,给予警告或者严重警告处分,给予严重警告或者撤销党内职务处分,情节严重的，给予撤销党内职务处分,情节严重的，给予留党察看处分,,AC,无,多选题,政治理论,
619,违背社会公序良俗可能会受到哪种情形的处分。（  ）,警告或严重警告处分,撤销党内职务或留党察看处分,不受党纪处分,开除党籍处分,,ABD,无,多选题,政治理论,
620,按照新修订《中国共产党纪律处分条例》，有下列行为之一的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（ ）,对批评、检举、控告进行阻挠、压制，或者将批评、检举、控告材料私自扣压、销毁，或者故意将其泄露给他人,对党员的申辩、辩护、作证等进行压制，造成不良后果,压制党员申诉，造成不良后果，或者不按照有关规定处理党员申诉,其他侵犯党员权利行为，造成不良后果,,ABCD,无,多选题,政治理论,
621,滥用问责，或者在问责工作中严重不负责任，造成不良影响的，对（ ）给予警告或者严重警告处分；情节严重的，给予撤销党内职务处分。,直接责任者,领导责任者,主要领导责任者,间接责任者,,AB,无,多选题,政治理论,
622,违反有关规定从事营利活动，有下列行为之一，情节较轻的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（	）,拥有非上市公司（企业）的股份或者证券,买卖股票或者进行其他证券投资,利用参与企业重组改制工作中掌握的信息买卖股票,在国（境）外注册公司或者投资入股,,ABCD,无,多选题,政治理论,
623,根据《中国共产党纪律处分条例》，在推进领导干部能上能下工作中，搞好人主义，有下列行为之一的，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。（ ）,在民主生活会上对人对己只讲优点不讲缺点,以党纪政务等处分规避组织调整,以组织调整代替党纪政务等处分,没有及时对违反党纪但情节不严重的党员干部进行批评教育,,BC,无,多选题,政治理论,
624,违反民主集中制原则，有下列行为之一的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或,拒不执行或者擅自改变党组织作出的重大决定,脱离实际，不作深入调查研究，搞随意决策机械执行,故意规避集体决策，决定重大事项、重要干部任免、重要项目安排和大额资金使用,借集体决策名义集体违规,,ACD,无,多选题,政治理论,
625,对党员的纪律处分种类包括警告和（	）。,严重警告,撤销党内职务,留党察看,开除党籍,,ABCD,无,多选题,政治理论,
626,党员领导干部政绩观错位，违背新发展理念、背离高质量发展要求，给党、国家和人民利益造成较大损失的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。搞劳民伤财的（	）的，从重或者加重处分。,形象工程,政绩工程,面子工程,景观亮化工程,,AB,无,多选题,政治理论,
627,在（	）等事项中优亲厚友、明显有失公平的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。,社会保障,社会救助,政策扶持,救灾救济款物分配,,ABCD,无,多选题,政治理论,
628,留党察看处分，分为留党察看（	   ）、留党察看（	  ）。,半年,一年,二年,三年,,BC,无,多选题,政治理论,
629,违反相关管理规定，有以下哪些行为，情节较重的，对直接责任者和领导责任者，给予警告或者严重警告处分。（ ）,决定或者批准举办各类节会、庆典活动,擅自举办评比达标表彰、创建示范活动,决定或者批准兴建培训中心,未经批准租用、借用办公用房,,ABCD,无,多选题,政治理论,
630,党员领导干部违反工作、生活保障制度，在交通、医疗、警卫等方面为（	）和其他特定关系人谋求特殊待遇，情节较重的，给予警告或者严重警告处分。,本人,配偶,子女及其配偶等亲属,身边工作人员,,ABCD,无,多选题,政治理论,
631,在机构编制工作中，有下列行为之一，造成不良影响或者严重后果的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（	）,擅自超出“三定”规定范围调整职责、设置机构、核定领导职数和配备人员,违规干预地方机构设置,其他违反机构编制管理规定行为,违反精文减会有关规定搞文山会海,,ABC,无,多选题,政治理论,
632,党组织在纪律审查中发现党员有下列（ ）等违反法律涉嫌犯罪行为的，应当给予撤销党内职务、留党察看或者开除党籍处分。,贪污贿赂、滥用职权,玩忽职守、权力寻租,利益输送、徇私舞弊,浪费国家资财,,ABCD,无,多选题,政治理论,
633,（ ），给党组织造成严重损害或者严重不良影响的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。,不履行全面从严治党主体责任、监督责任,不履行管党治党监督责任,履行全面从严治党主体责任、监督责任不力,履行管党治党监督责任不力,,AC,无,多选题,政治理论,
634,拒不执行党组织的分配、调动、交流等决定的，给予（	）处分。,警告,严重警告,撤销党内职务,留党察看,开除党籍,ABC,无,多选题,政治理论,
635,泄露、扩散或者打探、窃取党组织关于（ ）等尚未公开事项或者其他应当保密的内容的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。,干部选拔任用,纪律审查,审核审批,巡视巡察,,ABD,无,多选题,政治理论,
636,党员领导干部政绩观错位，违背新发展理念、背离高质量发展要求，给党、国家和人民利益造成较大损失的，（	）。,情节较重的，给予警告或者严重警告处分,情节较重的，给予撤销党内职务或者留党察看处分,情节严重的，给予开除党籍处分,情节严重的，给予留党察看处分,,BC,无,多选题,政治理论,
637,党的纪律是党的各级组织和全体党员必须遵守的行为规则，党组织和党员必须坚持初心使命，牢固树立（	）。,政治意识,大局意识,核心意识,看齐意识,,ABCD,无,多选题,政治理论,
638,《中国共产党党内监督条例》第三十三条规定，（	）应当点名道姓通报曝光。,对违反中央八项规定精神的,严重违纪被立案审查开除党籍的,严重失职失责被问责的,发生在群众身边、影响恶劣的不正之风和腐败问题,,ABCD,无,多选题,政治理论,
639,《中国共产党党内监督条例》第四十三条规定，党组织应当保障党员（  ）和（  ）。,参与权,检举权,知情权,监督权,,CD,无,多选题,政治理论,
640,《中国共产党党内监督条例》第四十四条规定，党组织应当保障监督对象的（ ）和（ ）等相关权利。,申辩权,申诉权,检举权,监督权,,AB,无,多选题,政治理论,
641,《中国共产党党内监督条例》第一条规定，加强党的建设，全面从严治党，强化党内监督，保持党的（	）。,服务性,先进性,创新型,纯洁性,,BD,无,多选题,政治理论,
642,《中国共产党党内监督条例》规定，纪律审查的重点三类情况是（	）。,不收敛不收手,问题线索反映集中、群众反映强烈,现在重要岗位且可能还要提拔使用的领导干部,连续违纪违法,,ABC,无,多选题,政治理论,
643,《中国共产党党务公开条例（试行）》明确规定，党的组织应当根据所承担的职责任务，建立健全党务公开的保密审查、（	）、（	）政策解读、（	）、舆情分析、应急处置等工作机制。,风险评估,信息发布,舆论引导,回复删帖,,ABC,无,多选题,政治理论,
644,《中国共产党党务公开条例（试行）》所称的党务公开，是指党的组织将其实施党的领导活动、加强党的建设工作的有关事务，按规定在党内或者向党外公开。适用于（ ），党的纪律检查机关、工作机关以及其他党的组织。,中央组织,地方组织,下级组织,基层组织,,ABD,无,多选题,政治理论,
645,《中国共产党党员教育管理工作条例》第二十三条规定，党组织应当坚持从严教育管理和热情关心爱护相统一，从（ ）上激励关怀帮扶党员。,政治,思想,工作,生活,,ABCD,无,多选题,政治理论,
646,"《中国共产党党员教育管理工作条例》第六条规定，组织党员（  ）,深入学习领会习近平新时代中国特色社会主义思想的核心要义。",读原著,学原文,重实践,悟原理,,ABD,无,多选题,政治理论,
647,《中国共产党党员教育管理工作条例》第七条规定，坚持（ ）和（ ）相结合，组织培训和个人自学相结合。,集中教育,个别教育,经常性教育,基础性教育,,AC,无,多选题,政治理论,
648,《中国共产党党员教育管理工作条例》第三十八条规定，党组织应当教育引导党员严格规范网络行为，敢于同网上错误言论作斗争，不得（ ）违反党的纪律规定和国家法律法规的信息内容。,浏览,制作,发布,传播,,BCD,无,多选题,政治理论,
649,《中国共产党党员教育管理工作条例》第三十七条规定，坚持（ ）和（ ）相结合，依托党员教育管理信息化平台，开展党员信息管理、党组织活动指导管理等工作。,个性化,网上,规范化,网下,,BD,无,多选题,政治理论,
650,《中国共产党党员教育管理工作条例》第三条规定，要不断增强党员教育管理针对性和有效性，努力建设（	）的党员队伍。,政治合格,执行纪律合格,品德合格,发挥作用合格,,ABCD,无,多选题,政治理论,
651,《中国共产党党员教育管理工作条例》规定，党员应当按期交纳党费。党组织应当做好党费（	）工作。,收缴,使用,管理,发放,,ABC,无,多选题,政治理论,
652,《中国共产党党员教育管理工作条例》规定，党员应当主动（ ），依托各类党员教育管理信息化平台，积极参加在线学习培训，认真参加党组织的活动，自觉接受党组织的教育管理。,学网,知网,用网,懂网,,AC,无,多选题,政治理论,
653,《中国共产党党员教育管理工作条例》规定，党支部开展主题党日，要贴近党员思想和工作实际，组织党员（	）等。,集中学习,过组织生活,进行民主议事,开展志愿服务,,ABCD,无,多选题,政治理论,
654,《中国共产党党员教育管理工作条例》规定，对（	）的党员，组织活动和开展学习教育不作硬性要求，党组织通过送学上门、走访慰问等方式，给予更多关心照顾。,年老体弱,行动不便,身患重病甚至失能,丧失劳动能力,,ABC,无,多选题,政治理论,
655,《中国共产党问责条例》规定，可以不予问责或者免予问责的情形有（	）。,在推进改革中因缺乏经验、先行先试出现的失误，尚无明确限制的探索性试验中的失误，为推动发展的无意过失,在集体决策中对错误决策提出明确反对意见或者保留意见的,在决策实施中已经履职尽责，但因不可抗力、难以预见等因素造成损失的,及时采取补救措施，有效挽回损失或者消除不良影响的,,ABC,无,多选题,政治理论,
656,《中国共产党问责条例》规定，可以从轻或者减轻问责的情形有（	）。,及时采取补救措施，有效挽回损失或者消除不良影响的,积极配合问责调查工作，主动承担责任的,党内法规规定的其他从轻、减轻情形,在集体决策中对错误决策提出明确反对意见或者保留意见的,,ABC,无,多选题,政治理论,
657,《中国共产党问责条例》规定，问责调查报告应当列明哪些信息（	）。,调查对象基本情况、调查依据、调查过程,问责事实,调查对象的态度、认识及其申辩,处理意见以及依据,,ABCD,无,多选题,政治理论,
658,纪律检查机关必须把维护党的政治纪律和政治规矩放在首位，坚决纠正和查处（	）等行为。,上有政策、下有对策,有令不行、有禁不止,口是心非、阳奉阴违,搞团团伙伙、拉帮结派，欺骗组织、对抗组织,,ABCD,无,多选题,政治理论,
659,坚决打赢反腐败斗争攻坚战持久战，腐败是危害党的生命力和战斗力的最大毒瘤，反腐败是最彻底的自我革命。只要存在腐败问题产生的土壤和条件，反腐败斗争就一刻不能停，必须永远吹冲锋号，坚持（ ）一体推进，以零容忍态度反腐惩恶，决不姑息。,不敢腐,不能腐,不愿腐,不想腐,,ABD,无,多选题,政治理论,
660,建立健全纠错机制，对于重大事项请示报告工作中出现的（ ）等问题，上级党组织应当及时提醒纠正，并将有关情况体现到考评通报中。,主体不适当,内容不准确,程序不规范,方式不合理,,ABCD,无,多选题,政治理论,
661,建立健全问责典型问题通报曝光制度，需要公开的主要针对的是采取（ ）方式问责的。,书面警告,组织调整,纪律处分,组织处理,,BCD,无,多选题,政治理论,
662,开展重大事项请示报告工作应当遵循以下原则（  ）。,坚持政治导向,坚持权责明晰,坚持客观真实,坚持规范有序,,ABCD,无,多选题,政治理论,
663,领导干部在民主生活会上进行述责述廉的重点内容是（	）。,执行政治纪律和政治规矩,履行管党治党责任,推进党风廉政建设和反腐败工作,执行廉洁纪律,,ABCD,无,多选题,政治理论,
664,启动问责调查后，要综合考虑主客观因素，正确区分贯彻执行党中央或者上级决策部署过程中出现的（	）等不同情况，精准提出处理意见。,执行不当,执行不力,不执行,执行不到位,,ABC,无,多选题,政治理论,
665,请示报告制度是我们党的一项重要（ ）。,政治纪律,组织纪律,工作纪律,政治规矩,,ABC,无,多选题,政治理论,
666,擅自对应当由党中央决定的重大政策问题作出决定、对外发表主张的，对直接责任者和领导责任者，给予（	）或者（	）处分。|,留党察看,开除党籍,严重警告,撤销党内职务,,CD,无,多选题,政治理论,
667,实行终身问责，对失职失责性质恶劣、后果严重的，不论其责任人是否（	），都应当严肃问责。,调离转岗,提拔,病退,退休,,ABD,无,多选题,政治理论,
668,问责决定作出后，发现（	），应当及时予以纠正。,问责事实认定不清楚、证据不确凿,依据不充分、责任不清晰、程序不合规、处理不恰当,或者存在其他不应当问责、不精准问责情况的,对党中央、上级党组织三令五申的指示要求，不执行或者执行不力的,,ABC,无,多选题,政治理论,
669,问责决定作出后，应当及时向（	）宣布并督促执行。,被问责党组织,被问责领导干部,被问责领导干部所在党组织,上级组织部门,,ABC,无,多选题,政治理论,
670,问责做到事实清楚、证据确凿、依据充分、责任分明、程序合规、处理恰当，防止（	）。,问责不力,简单化,问责泛化,单一化,,ABC,无,多选题,政治理论,
671,下列哪些属于领导干部应当向党组织请示的事项（	）。,超出自身职权范围，应当由所在党组织或者上级党组织作决定的重大事项,属于自身职权范围但事关重大的问题和情况,代表党组织对外发表重要意见,个人在党报党刊上发表的学术文章,,ABC,无,多选题,政治理论,
672,下列事项不必向上级党组织请示（	）。,属于自身职权范围内的日常工作,上级党组织就有关问题已经作出明确批复的,事后报告即可的事项,全面工作总结和计划,,ABC,无,多选题,政治理论,
673,下列属于口头请示报告的方式有（ ）。,通话,当面,会议,信息,,ABC,无,多选题,政治理论,
674,严格执行干部考察考核制度，全面考察（	）、绩、廉表现，既重政绩又重政德。,德,才,能,勤,,ACD,无,多选题,政治理论,
675,党员领导干部违反有关规定组织、参加自发成立的老乡会、校友会、战友会等，情节严重的，给予   	处分。（	）,警告,严重警告,撤销党内职务,留党察看,开除党籍,ABC,无,多选题,政治理论,
676,对于受到解散处理的党组织中的党员，应当逐个审查。其中，不符合党员条件的，应当对其进行	，经教育仍无转变的，予以劝退或者除名。（ ）,批评,教育,限期改正,警告,,BC,无,多选题,政治理论,
677,不按照规定公开	等，侵犯群众知情权，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分（ ）,党务,政务,厂务,村（居）务,,ABCD,无,多选题,政治理论,
678,通过网络、广播、电视、报刊、传单、书籍等，或者利用讲座、论坛、报告会、座谈会等方式，有下列行为之一，情节较轻的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。（ ）,公开发表违背四项基本原则，违背、歪曲党的改革开放决策，或者其他有严重政治问题的文章、演说、宣言、声明等,错误宣传党的政策、路线、方针和党的历史,妄议党中央大政方针，破坏党的集中统一,丑化党和国家形象，或者诋毁、诬蔑党和国家领导人、英雄模范，或者歪曲党的历史、中华人民共和国历史、人民军队历史,,ACD,无,多选题,政治理论,
679,深化运用监督执纪“四种形态”，经常开展批评和自我批评，及时进行谈话提醒、批评教育、责令检查、诫勉，让  	成为常态；  	成为违纪处理的大多数；   成为少数；   	成为极少数。（  ）,“红红脸、出出汗”,党纪轻处分、组织调整,党纪重处分、重大职务调整的,严重违纪涉嫌犯罪追究刑事责任的,党纪轻处分、职务适当调整的,ABCD,无,多选题,政治理论,
680,，给党组织造成严重损害或者严重不良影响的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。（  ）,不履行全面从严治党主体责任、监督责任,不履行管党治党监督责任,履行全面从严治党主体责任、监督责任不力,履行管党治党监督责任不力,,AC,无,多选题,政治理论,
681,违纪行为有关责任人员分为以下几种	。（	）,直接责任者,主要领导责任者,重要领导责任者,其他相关领导责任者,,ABC,无,多选题,政治理论,
682,拒不执行党组织的分配、调动、交流等决定的，给予  	、  	或者  	处分。（	）,警告,严重警告,撤销党内职务,留党察看,开除党籍,ABC,无,多选题,政治理论,
683,有下列行为之一的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严 重的，给予开除党籍处分。（	）,在民主推荐、民主测评、组织考察和党内选举中搞拉票、助选等非组织活动,在法律规定的投票、选举活动中违背组织原则搞非组织活动，组织、怂恿、诱使他人投票、表决,在法律规定的选举活动中搞团团伙伙小圈子互相拉票、投票,在选举中进行其他违反党章、其他党内法规和有关章程活动,,ABD,无,多选题,政治理论,
684,借用管理和服务对象的  	 、  	、  	 等，可能影响公正执行公务，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务、留党察看或者开除党籍处分。（ ）,商铺,钱款,住房,车辆,,BCD,无,多选题,政治理论,
685,党组织有下列行为之一，对直接责任者和领导责任者，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。（ ）,党员被依法判处刑罚后，不按照规定给予党纪处分，或者对违反国家法律法规的行为，应当给予党纪处分而不处分|,党纪处分决定或者申诉复查决定作出后，不按照规定落实决定中关于被处分人党籍、职务、职级、待遇等事项,党员受到党纪处分后，不按照干部管理权限和组织关系对受处分党员开展日常教育、管理和监督工作,党员被依法追究刑事责任后，不按照规定给予党纪处分，或者对党员违反国家法律法规的行为，应当给予党纪处分而不处分,,BCD,无,多选题,政治理论,
686,违反有关规定干预和插手市场经济活动，有下列行为之一，情节较轻的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分：（	  ）,干预和插手建设工程项目承发包、土地使用权出让、政府采购、房地产开发与经营、矿产资源开发利用、中介机构服务等活动,干预和插手国有企业重组改制、兼并、破产、产权交易、清产核资、资产评估、资产转让、重大项目投资以及其他重大经营活动等事项,干预和插手批办各类行政许可和资金借贷等事项,干预和插手经济纠纷,干预和插手集体资金、资产和资源的使用、分配、承包、租赁等事项,ABCDE,无,多选题,政治理论,
